148
./saves/copytask/RNN/HS_128_NL_modrelu_lr_0.0002_BS_10_rinit_henaff_iinit_xavier_decay_0_alpha_0.99/400/
Copy task
RNN
Cuda: False
modrelu
128
Update 105, Time for Update: 0.15293455123901367 , Average Loss: 0.0856393426656723, Accuracy: 0.23
Update 106, Time for Update: 0.15882325172424316 , Average Loss: 0.08088533580303192, Accuracy: 0.27
Update 107, Time for Update: 0.1520850658416748 , Average Loss: 0.08149447292089462, Accuracy: 0.21
Update 108, Time for Update: 0.15097570419311523 , Average Loss: 0.07744837552309036, Accuracy: 0.22
Update 109, Time for Update: 0.15551495552062988 , Average Loss: 0.0768699198961258, Accuracy: 0.3
Update 110, Time for Update: 0.15117835998535156 , Average Loss: 0.07687493413686752, Accuracy: 0.21
Update 111, Time for Update: 0.15118646621704102 , Average Loss: 0.07436828315258026, Accuracy: 0.23
Update 112, Time for Update: 0.14795303344726562 , Average Loss: 0.08126794546842575, Accuracy: 0.21
Update 113, Time for Update: 0.1496107578277588 , Average Loss: 0.07674939930438995, Accuracy: 0.22
Update 114, Time for Update: 0.1581428050994873 , Average Loss: 0.07702244818210602, Accuracy: 0.27
Update 115, Time for Update: 0.15407681465148926 , Average Loss: 0.07837333530187607, Accuracy: 0.23
Update 116, Time for Update: 0.15238666534423828 , Average Loss: 0.07297927886247635, Accuracy: 0.26
Update 117, Time for Update: 0.15407633781433105 , Average Loss: 0.07495302706956863, Accuracy: 0.22
Update 118, Time for Update: 0.1521284580230713 , Average Loss: 0.06927692145109177, Accuracy: 0.28
Update 119, Time for Update: 0.15067172050476074 , Average Loss: 0.07443867623806, Accuracy: 0.28
Update 120, Time for Update: 0.14952683448791504 , Average Loss: 0.07009424269199371, Accuracy: 0.27
Update 121, Time for Update: 0.15065574645996094 , Average Loss: 0.0687817931175232, Accuracy: 0.26
Update 122, Time for Update: 0.14820408821105957 , Average Loss: 0.07512664049863815, Accuracy: 0.29
Update 123, Time for Update: 0.14969205856323242 , Average Loss: 0.12771354615688324, Accuracy: 0.06
Update 124, Time for Update: 0.14930248260498047 , Average Loss: 0.20380854606628418, Accuracy: 0.15
Update 125, Time for Update: 0.1504988670349121 , Average Loss: 0.3717727065086365, Accuracy: 0.0
Update 126, Time for Update: 0.1525282859802246 , Average Loss: 0.130306214094162, Accuracy: 0.22
Update 127, Time for Update: 0.14660120010375977 , Average Loss: 0.08777299523353577, Accuracy: 0.1
Update 128, Time for Update: 0.15655827522277832 , Average Loss: 0.08318714052438736, Accuracy: 0.17
Update 129, Time for Update: 0.15164971351623535 , Average Loss: 0.07900745421648026, Accuracy: 0.22
Update 130, Time for Update: 0.15046358108520508 , Average Loss: 0.07860805094242096, Accuracy: 0.19
Update 131, Time for Update: 0.14980506896972656 , Average Loss: 0.07042168825864792, Accuracy: 0.29
Update 132, Time for Update: 0.16539812088012695 , Average Loss: 0.06946352124214172, Accuracy: 0.29
Update 133, Time for Update: 0.15009021759033203 , Average Loss: 0.0659731924533844, Accuracy: 0.36
Update 134, Time for Update: 0.14803075790405273 , Average Loss: 0.07537828385829926, Accuracy: 0.17
Update 135, Time for Update: 0.15054583549499512 , Average Loss: 0.0671037808060646, Accuracy: 0.29
Update 136, Time for Update: 0.16611504554748535 , Average Loss: 0.0676867663860321, Accuracy: 0.25
Update 137, Time for Update: 0.14506316184997559 , Average Loss: 0.07050029933452606, Accuracy: 0.25
Update 138, Time for Update: 0.1568746566772461 , Average Loss: 0.06684129685163498, Accuracy: 0.25
Update 139, Time for Update: 0.15665316581726074 , Average Loss: 0.0704076811671257, Accuracy: 0.22
Update 140, Time for Update: 0.14983797073364258 , Average Loss: 0.0692819207906723, Accuracy: 0.23
Update 141, Time for Update: 0.1526472568511963 , Average Loss: 0.06508594006299973, Accuracy: 0.3
Update 142, Time for Update: 0.14827823638916016 , Average Loss: 0.06483884155750275, Accuracy: 0.24
Update 143, Time for Update: 0.1523723602294922 , Average Loss: 0.06666207313537598, Accuracy: 0.29
Update 144, Time for Update: 0.15491628646850586 , Average Loss: 0.06542803347110748, Accuracy: 0.3
Update 145, Time for Update: 0.15009617805480957 , Average Loss: 0.06093522906303406, Accuracy: 0.3
Update 146, Time for Update: 0.14851951599121094 , Average Loss: 0.05978957936167717, Accuracy: 0.36
Update 147, Time for Update: 0.1494312286376953 , Average Loss: 0.060669511556625366, Accuracy: 0.29
Update 148, Time for Update: 0.14791131019592285 , Average Loss: 0.0634574145078659, Accuracy: 0.31
Update 149, Time for Update: 0.14998555183410645 , Average Loss: 0.06393414735794067, Accuracy: 0.3
Update 150, Time for Update: 0.1473371982574463 , Average Loss: 0.05970188230276108, Accuracy: 0.28
Update 151, Time for Update: 0.1525425910949707 , Average Loss: 0.0617295503616333, Accuracy: 0.28
Update 152, Time for Update: 0.14896225929260254 , Average Loss: 0.06891347467899323, Accuracy: 0.2
